year,police_allocation_share,streets_sanit_allocation_share,transportation_allocation_share,planning_housing_commdev_allocation_share,library_combined_allocation_share,human_family_youth_services_allocation_share,internal_ops_infrastructure_allocation_share,cps_state_share
2003,0.20436612485170885,0.04639123624150226,0.008301420948169583,0.005154498264967121,0.012725423924264052,0.0029077166415208537,0.012086974674523196,0.37933971761183244
2004,0.20124711651096852,0.04631088135711719,0.00786822141840427,0.005151743391666155,0.011910895728169843,0.0019461359278554998,7.476531462163574e-4,0.36200576706905824
2005,0.1926927391859765,0.04394403611582843,0.007356805287598232,0.004991228860181826,0.01313996359922533,0.0018582178384465558,7.094227513331018e-4,0.35875645694970126
2006,0.2148595202800104,0.04539179115359435,0.006190022991403339,0.0051236244837763656,0.01322612822866904,0.0018751063895277517,6.591825504407397e-4,0.35633129516398
2007,0.20514794189891192,0.042863798586136787,0.006063367509861222,0.008267659340189361,0.01226178344696202,0.002039964583208397,8.086548863743519e-4,0.3530290456431535
2008,0.19324658171123246,0.04206659498422939,0.0061233926808675985,0.007757899076017193,0.012506682768230967,0.0021554378731839905,8.985101449855071e-4,0.3690603397518373
2009,0.1921590518717753,0.035325342388489354,0.0051945912976281965,0.006810776984072015,0.012606369079858595,0.0032029000964132414,7.71674954061323e-4,0.36792152366392766
2010,0.18851662700431182,0.028562330572599357,0.012214302841136676,0.005804097842740573,0.012029392338227873,0.0038770762676823187,7.079666432742702e-4,0.3061153174140943
2011,0.1974444900391685,0.028049769136740118,0.011614783592720787,0.004251576393173439,0.012259089574701211,0.0026461657391735455,0.003173438726679948,0.3405170893442912
2012,0.18472332867941527,0.0266900731105877,0.008308270154341255,0.003019028772867135,0.011011081852931707,0.002346012608158774,0.024219980174159623,0.3558064045517543
2013,0.1801908414263363,0.028750567845748882,0.008010016424289732,0.003564269041280368,0.01083953788885904,0.002437415183445884,0.0249527298679946,0.3464309102815979
2014,0.17449080905173958,0.02653754940017332,0.006872463223846361,0.004142252978870133,0.009849013212330067,0.007261427844845462,0.02410932698237298,0.32760223048327136
2015,0.1720555289638626,0.02449656412094645,0.007056841840887468,0.0045819002511443855,0.009657432748231227,0.00772626351267347,0.021604721098770145,0.3080774024806392
2016,0.16184471276138107,0.016420102495043578,0.006599955345453185,0.0044526847669547,0.010349390500504993,0.007483044598436389,0.02258558254311151,0.3614150555327026
2017,0.15856429323264729,0.016201641320536267,0.006199990296545526,0.005337413757509126,0.009765047317050097,0.008447448831407894,0.02185540935536791,0.3264680320745126
2018,0.1623848381696872,0.016067746473397242,0.006164873659648224,0.005701962516225777,0.010056944611216092,0.008810937017026031,0.021413682301481655,0.32200576976765827
2019,0.16134570645334773,0.016006241535352416,0.006171298030992746,0.00576360639794134,0.010516437489173958,0.009392999711027477,0.02189583421757952,0.33415128560759627
2020,0.15079749492185238,0.01988537222480938,0.005304677426550757,0.010495340345583202,0.009822896168335293,0.009518241141310219,0.022118729561585053,0.3325657319419344
2021,NA,NA,NA,NA,NA,NA,NA,NA
2022,NA,NA,NA,NA,NA,NA,NA,NA
2023,0.12824643074892095,0.018631730194226325,0.0036212703603034067,0.010228688196132324,0.008780062474917612,0.01002705232592916,0.02169644736682329,0.2063930142858759
2024,0.12567598361366394,0.020040007008265418,0.0035996833998034796,0.008978944641928213,0.008662108042887695,0.01041382839142246,0.019612143373215422,0.26588330718577574
