year,Police,Streets & Sanitation,Transportation,"Planning, Housing & Community Dev.",Chicago Public Library,"Human, Family & Youth Services",Internal Ops & Infrastructure
2003,437.7086416240013,99.36013129994181,17.77987271329304,11.039835664786127,27.25514330724274,6.227708737498008,25.88772121587261
2004,434.306558547335,99.9423984512458,16.98021927151111,11.117853421922478,25.704617400745004,4.199909106504788,1.613492260410181
2005,424.5166799682988,96.8120355499941,16.207598527364304,10.996054722338744,28.94833373386075,4.093794456229359,1.5629119828912674
2006,462.4577305415845,97.70004463731368,13.323235483696388,11.027948623484663,28.467555156555598,4.035927494834424,1.4188064177568556
2007,464.1114077176613,96.97186195385251,13.717310563602332,18.70413604634708,27.740144619646525,4.615063771263906,1.829440520821313
2008,442.5119462031316,96.3275554567196,14.02184912448173,17.764676550427712,28.638832745745635,4.935699248785968,2.0574825666770598
2009,427.2824916453312,78.54899452798139,11.550628976931081,15.144359484750405,28.03136640493499,7.121929049690195,1.7158868858888714
2010,453.58327142381273,68.72282591981491,29.38840742528895,13.965037084574766,28.94350072309085,9.328497782928979,1.7034138113872266
2011,479.00351295452776,68.04919170647214,28.177652068265832,10.314392807419537,29.740748757998805,6.419640703433128,7.698813463592161
2012,455.4242840472602,65.80277393470858,20.483541595760197,7.443234307385618,27.14716167853475,5.783953332125161,59.712907997660274
2013,459.8572651279669,73.37308264819373,20.44201701566396,9.096217102540875,27.663116556672843,6.220422033486233,63.680784349208416
2014,474.461684457908,72.1588171790625,18.687061486397884,11.263288516375399,26.78066211260844,19.74470349216704,65.55618575767694
2015,505.12256318193783,71.91728933350389,20.7175558966623,13.451594453486713,28.35240002411272,22.682851593571314,63.42738396121969
2016,511.84037723223776,51.92923087729416,20.87262275112617,14.081793664613036,32.730361390997665,23.66542783363186,71.42780812321047
2017,528.1653488986777,53.96640924850044,20.651686274278823,17.778510798236823,32.52661439769818,28.137796148077904,72.79867158090192
2018,558.7360609137957,55.286130611074405,21.212184976430052,19.619393729757856,34.60407806686504,30.31679741373576,73.68050264820096
2019,574.3100384972452,56.97421638562428,21.966735202725804,20.515556844035117,37.43325900654019,33.43438226045757,77.93822140574522
2020,595.6617124018893,78.54875094123626,20.95388415620808,41.45740223158563,38.80119597085336,37.59778516364039,87.37068433156568
2021,NA,NA,NA,0,0,0,0
2022,NA,NA,NA,0,0,0,0
2023,642.1353091477654,93.28986201300529,18.131854030882124,51.21547491531098,43.96214458947311,50.205875575258574,108.63503066669568
2024,652.837749872957,104.10002537105163,18.69895220559259,46.642117672138454,44.99627503420964,54.095779473017735,101.8774405563016
